EffectGroupKey,EffectInstanceKey,EffectOrder,EffectKey,Trigger,EffectTarget,TargetSkillKey,ExclusiveGroup,ExclusivePriority,StopOnMatch
string,string,int,enum,enum,enum,string,string,int,bool
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,SET_COLD_MAX,1,SET_RESOURCE_MAX,ON_BATTLE_START,SELF,,,,FALSE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_DECAY,2,MODIFY_RESOURCE,ON_OWNER_TURN_START,SELF,,,,FALSE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,3,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,COLD_BACKLASH,1,TRUE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,4,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,COLD_BACKLASH,2,TRUE
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
BEIGE_ICE_ICE_BOLT_EFFECTS,ADD_COLD_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,1,APPLY_BARRIER,ON_CAST,TARGET,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,ADD_COLD_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,BARRIER_BREAK_FROSTBITE,3,APPLY_STATUS,ON_BARRIER_BREAK,ADJACENT_ENEMY,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,ADD_COLD_ON_CAST,1,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,NORMAL_TILE_TO_ICE,2,CHANGE_TILE_TYPE,ON_CAST,TARGET_TILE,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,WATER_AREA_TO_ICE,3,CHANGE_TILE_TYPE,ON_CAST,TARGET_AND_NEIGHBORS,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,HIT_TARGET_FROSTBITE,4,APPLY_STATUS,ON_HIT_DEALT,TARGET_ENEMY,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,TOGGLE_STORM_AURA,1,TOGGLE_AURA,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,2,DEAL_DAMAGE,ON_OWNER_TURN_START,ENEMY_IN_AURA,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_FROSTBITE_TICK,3,APPLY_STATUS,ON_OWNER_TURN_START,ENEMY_IN_AURA,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_COLD_TICK,4,MODIFY_RESOURCE,ON_OWNER_TURN_START,CASTER,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,IGNORE_COLD_BACKLASH,1,IGNORE_COLD_BACKLASH,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,EMPOWER_SKILLS,2,EMPOWER_SKILLS,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,EMPOWER_ICE_BOLT_DAMAGE,3,EMPOWER_SKILL_DAMAGE_MULTIPLIER,WHILE_EMPOWERED,SKILL,BEIGE_ICE_ICE_BOLT,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,EMPOWER_ICE_SHIELD_CHAIN,4,EMPOWER_SHIELD_CHAIN,WHILE_EMPOWERED,SKILL,BEIGE_ICE_ICE_SHIELD,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,EMPOWER_HAIL_SHAPE,5,EMPOWER_HAIL_SHAPE,WHILE_EMPOWERED,SKILL,BEIGE_ICE_HAIL,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,EMPOWER_STORM_RADIUS,6,EMPOWER_AURA_RADIUS,WHILE_EMPOWERED,SKILL,BEIGE_ICE_STORM_CENTER,,,FALSE
BEIGE_ICE_THAWING_POTION_EFFECTS,HALVE_COLD_STACK,1,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,2,APPLY_STAT_MODIFIER,ON_CAST,CASTER,,,,FALSE
