EffectGroupKey,EffectInstanceKey,EffectOrder,EffectKey,Trigger,EffectTarget,TargetSkillKey,ExclusiveGroup,ExclusivePriority,StopOnMatch
string,string,int,enum,enum,enum,string,string,int,bool
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,SET_COLD_MAX,1,SET_RESOURCE_MAX,ON_BATTLE_START,SELF,,,,FALSE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_DECAY,2,MODIFY_RESOURCE,ON_OWNER_TURN_START,SELF,,,,FALSE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,3,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,COLD_BACKLASH,1,TRUE
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,4,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,COLD_BACKLASH,2,TRUE
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
BEIGE_ICE_ICE_BOLT_EFFECTS,ADD_COLD_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,1,APPLY_BARRIER,ON_CAST,TARGET,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,ADD_COLD_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_ICE_SHIELD_EFFECTS,BARRIER_BREAK_FROSTBITE,3,APPLY_STATUS,ON_BARRIER_BREAK,ADJACENT_ENEMY,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,ADD_COLD_ON_CAST,1,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,NORMAL_TILE_TO_ICE,2,CHANGE_TILE_TYPE,ON_EMPTY_TILE_CAST,TARGET_TILE,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,WATER_AREA_TO_ICE,3,CHANGE_TILE_TYPE,ON_EMPTY_TILE_CAST,TARGET_AND_NEIGHBORS,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,DEAL_DAMAGE_ON_HIT,4,DEAL_DAMAGE,ON_HIT_DEALT,TARGET_ENEMY,,,,FALSE
BEIGE_ICE_HAIL_EFFECTS,HIT_TARGET_FROSTBITE,5,APPLY_STATUS,ON_HIT_DEALT,TARGET_ENEMY,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,TOGGLE_STORM_AURA,1,TOGGLE_AURA,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,2,DEAL_DAMAGE,ON_OWNER_TURN_START,ENEMY_IN_AURA,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_FROSTBITE_TICK,3,APPLY_STATUS,ON_OWNER_TURN_START,ENEMY_IN_AURA,,,,FALSE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_COLD_TICK,4,MODIFY_RESOURCE,ON_OWNER_TURN_START,CASTER,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_COLD_BACKLASH_IMMUNITY,1,APPLY_STATUS,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_EMPOWERED,2,APPLY_STATUS,ON_CAST,SELF,,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_BOLT_DAMAGE_MODIFIER,3,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_ICE_ICE_BOLT,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_SHIELD_TARGET_MODIFIER,4,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_ICE_ICE_SHIELD,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_HAIL_SHAPE_MODIFIER,5,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_ICE_HAIL,,,FALSE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_STORM_AURA_MODIFIER,6,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_ICE_STORM_CENTER,,,FALSE
BEIGE_ICE_THAWING_POTION_EFFECTS,HALVE_COLD_STACK,1,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,2,APPLY_STAT_MODIFIER,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_HEAT_ACCUMULATION_EFFECTS,SET_HEAT_MAX,1,SET_RESOURCE_MAX,ON_BATTLE_START,SELF,,,,FALSE
BEIGE_FIRE_HEAT_ACCUMULATION_EFFECTS,HEAT_DECAY,2,MODIFY_RESOURCE,ON_OWNER_TURN_START,SELF,,,,FALSE
BEIGE_FIRE_HEAT_ACCUMULATION_EFFECTS,HEAT_BACKLASH_HIGH,3,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,HEAT_BACKLASH,1,TRUE
BEIGE_FIRE_HEAT_ACCUMULATION_EFFECTS,HEAT_BACKLASH_LOW,4,DEAL_DAMAGE,ON_OWNER_TURN_END,SELF,,HEAT_BACKLASH,2,TRUE
BEIGE_FIRE_FIREBALL_EFFECTS,DEAL_DAMAGE,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
BEIGE_FIRE_FIREBALL_EFFECTS,ADD_HEAT_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_EXPLOSION_EFFECTS,DEAL_DAMAGE_CENTER,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
BEIGE_FIRE_EXPLOSION_EFFECTS,ADD_HEAT_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_EXPLOSION_EFFECTS,DEAL_DAMAGE_OUTER,3,DEAL_DAMAGE,ON_HIT_DEALT,TARGET_ENEMY,,,,FALSE
BEIGE_FIRE_FIRE_WALL_EFFECTS,SET_FIRE_CENTER,1,CHANGE_TILE_TYPE,ON_CAST,TARGET_TILE,,,,FALSE
BEIGE_FIRE_FIRE_WALL_EFFECTS,ADD_HEAT_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_FIRE_WALL_EFFECTS,SET_FIRE_LINE_ON_HIT,3,CHANGE_TILE_TYPE,ON_HIT_DEALT,TARGET_TILE,,,,FALSE
BEIGE_FIRE_FIRE_WALL_EFFECTS,SET_FIRE_LINE_ON_EMPTY,4,CHANGE_TILE_TYPE,ON_EMPTY_TILE_CAST,TARGET_TILE,,,,FALSE
BEIGE_FIRE_TELEPORT_EFFECTS,TELEPORT_TO_FIRE,1,TELEPORT_TO_OVERLAY,ON_CAST,SELF,,,,FALSE
BEIGE_FIRE_TELEPORT_EFFECTS,ADD_HEAT_ON_CAST,2,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_AMBITIOUS_EFFECTS,APPLY_HEAT_BACKLASH_IMMUNITY,1,APPLY_STATUS,ON_CAST,SELF,,,,FALSE
BEIGE_FIRE_AMBITIOUS_EFFECTS,APPLY_EMPOWERED,2,APPLY_STATUS,ON_CAST,SELF,,,,FALSE
BEIGE_FIRE_AMBITIOUS_EFFECTS,ADD_FIREBALL_DAMAGE_MODIFIER,3,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_FIRE_FIREBALL,,,FALSE
BEIGE_FIRE_AMBITIOUS_EFFECTS,ADD_EXPLOSION_DAMAGE_MODIFIER,4,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_FIRE_EXPLOSION,,,FALSE
BEIGE_FIRE_AMBITIOUS_EFFECTS,ADD_FIRE_WALL_DAMAGE_MODIFIER,5,ADD_SKILL_MODIFIER,WHILE_EMPOWERED,SKILL,BEIGE_FIRE_FIRE_WALL,,,FALSE
BEIGE_FIRE_COOLING_POTION_EFFECTS,HALVE_HEAT_STACK,1,MODIFY_RESOURCE,ON_CAST,CASTER,,,,FALSE
BEIGE_FIRE_COOLING_POTION_EFFECTS,DAMAGE_DOWN,2,APPLY_STAT_MODIFIER,ON_CAST,CASTER,,,,FALSE
SUEN_AXE_MAN_IN_HELL_EFFECTS,ADD_BONUS_STR_TO_DEX,1,ADD_STAT_FROM_STAT,ON_BATTLE_START,SELF,,,,FALSE
SUEN_AXE_WEAPON_STRIKE_EFFECTS,MONEY_MAKER_DAMAGE,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
SUEN_AXE_WEAPON_STRIKE_EFFECTS,MONEY_MAKER_HEAL_ON_KILL,2,RESTORE_HP,ON_KILL_DEALT,CASTER,,,,FALSE
SUEN_AXE_WEAPON_STRIKE_EFFECTS,SORE_THUMB_DAMAGE,3,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,FINAL_PAYMENT_DAMAGE,1,DEAL_DAMAGE,ON_CAST,TARGET,,,,FALSE
SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,DROP_AXE,2,DROP_EQUIPMENT,ON_CAST,TARGET_TILE,,,,FALSE
SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,APPLY_AXE_OFF,3,APPLY_STATUS,ON_CAST,SELF,,,,FALSE
SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,APPLY_AXE_OFF_EVASION,4,APPLY_STAT_MODIFIER,ON_CAST,SELF,,,,FALSE
SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,FINAL_PAYMENT_HEAL_ON_KILL,5,RESTORE_HP,ON_KILL_DEALT,CASTER,,,,FALSE
