EffectGroupKey,EffectInstanceKey,ParamKey,ParamValue
string,string,string,string
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,SET_COLD_MAX,resource_key,COLD
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,SET_COLD_MAX,max_value,20
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_DECAY,resource_key,COLD
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_DECAY,amount,-1
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,condition_resource_key,COLD
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,threshold_ratio,0.9
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,damage_grade,HIGH
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,base_value,20
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_HIGH,blocked_by_status,BEIGE_ICE_COLD_HARD_WORKER_IGNORE_COLD_BACKLASH
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,condition_resource_key,COLD
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,threshold_ratio,0.7
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,damage_grade,LOW
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,base_value,10
BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,COLD_BACKLASH_LOW,blocked_by_status,BEIGE_ICE_COLD_HARD_WORKER_IGNORE_COLD_BACKLASH
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,base_value,10
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,scaling_stat,SPELL
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,coefficient,1
BEIGE_ICE_ICE_BOLT_EFFECTS,DEAL_DAMAGE,damage_type,MAGIC
BEIGE_ICE_ICE_BOLT_EFFECTS,ADD_COLD_ON_CAST,resource_key,COLD
BEIGE_ICE_ICE_BOLT_EFFECTS,ADD_COLD_ON_CAST,amount,1
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,base_value,20
